Datum,BHKW1_Biogas,BHKW2_Biogas,Methangehalt CH4,TS-Wert,pH-Wert
734133.0827,2455.504647,5547.505411,51.3092776,7.31521832,7.735849522
734133.166,2419.004225,5505.004919,51.60586675,7.538484043,7.723827891
734133.2493,2382.503802,5462.504427,51.90245591,7.844692802,7.732704184
734133.3327,2346.00338,5420.003935,52.19904506,7.68708992,7.734889624
734133.416,2309.502957,5377.503443,52.49563421,7.819335593,7.723763698
734133.4993,2273.002535,5335.002951,52.79222336,7.883752974,7.712189209
734133.5827,2236.502112,5292.50246,53.08881251,7.233059359,7.72112984
734133.666,2200.00169,5250.001968,53.38540166,7.065179535,7.717720386
734133.7493,2163.501267,5207.501476,53.68199082,7.545079561,7.728782463
734133.8327,2127.000845,5165.000984,53.97857997,7.591567809,7.73476157
734133.916,2090.500422,5122.500492,54.27516912,7.309115275,7.714438375
734133.9993,2054,5080,54.57175827,8.142784832,7.715583555
734134.0827,2060.33326,5086.66659,54.56211324,7.451879852,7.698883131
734134.166,2066.66652,5093.333179,54.55246821,7.087270915,7.694572064
734134.2493,2072.99978,5099.999769,54.54282317,7.961482565,7.700038904
734134.3327,2079.33304,5106.666358,54.53317814,8.180260727,7.70955584
734134.416,2085.6663,5113.332948,54.52353311,7.675723566,7.730391292
734134.4993,2091.99956,5119.999537,54.51388808,6.968136345,7.716175923
734134.5827,2098.33282,5126.666127,54.50424304,7.966453201,7.739908572
734134.666,2104.66608,5133.332716,54.49459801,7.371179652,7.722090354
734134.7493,2110.99934,5139.999306,54.48495298,7.136929356,7.693475481
734134.8327,2117.3326,5146.665895,54.47530795,8.100651618,7.691590223
734134.916,2123.66586,5153.332485,54.46566291,7.981506336,7.683230482
734134.9993,2129.99912,5159.999074,54.45601788,7.641733897,7.693871677
734135.0827,2140.998472,5183.330093,54.22697833,7.856373697,7.672265363
734135.166,2151.998472,5206.663426,53.9979083,7.651114763,7.697642724
734135.2493,2162.998472,5229.996759,53.76883827,7.575221865,7.694624241
734135.3327,2173.998472,5253.330093,53.53976825,7.247854895,7.684737312
734135.416,2184.998472,5276.663426,53.31069822,7.738546883,7.696796777
734135.4993,2195.998472,5299.996759,53.08162819,7.937911169,7.69595083
